accuracy_bin,avg_cv,std_of_cv,count,se_of_cv,ci_95,model
0-20%,0.9465360419477896,0.5992401936040705,19,0.13747512878041535,0.28882452803973896,DeepSeek-Math-RL
20-40%,0.7287360627409708,0.4797624653300594,7,0.18133316737808353,0.4437062762630869,DeepSeek-Math-RL
40-60%,1.32176921812924,,1,,,DeepSeek-Math-RL
60-80%,0.661622470867861,0.8324191333020392,5,0.3722691535669637,1.0335848692371241,DeepSeek-Math-RL
80-100%,0.33266416834187645,0.5247557340075073,18,0.12368611266107754,0.2609548872539712,DeepSeek-Math-RL
0-20%,0.17175499712717843,0.12564898126231247,9,0.041882993754104154,0.09658235679169443,DeepSeek-Math-Instruct
20-40%,0.28546041452860904,0.15112017364199395,4,0.07556008682099698,0.24046591913043996,DeepSeek-Math-Instruct
60-80%,0.11715128891124534,0.017986840151790792,2,0.012718616643449738,0.16160534703586515,DeepSeek-Math-Instruct
80-100%,0.11141321369016649,0.11288889368371548,35,0.019081705761677458,0.038778691762585284,DeepSeek-Math-Instruct
0-20%,0.8746150440844189,0.755014389869874,35,0.1276207247959558,0.2593565172417287,DeepSeek-Math-Base
20-40%,0.8053425319112403,0.6251143356632108,3,0.3609099299694489,1.5528700953574925,DeepSeek-Math-Base
40-60%,0.23013356391925213,0.22131124952020398,2,0.1564906852886043,1.9884026866215683,DeepSeek-Math-Base
60-80%,0.710406884008871,0.7451304985732842,5,0.3332324893836347,0.92520171404207,DeepSeek-Math-Base
80-100%,0.48135239941146574,0.41594789740726823,5,0.18601755474015205,0.5164675293391587,DeepSeek-Math-Base
