accuracy_bin,avg_cv,std_of_cv,count,se_of_cv,ci_95,model
0-20%,0.26742497793965264,0.35795667075722837,5,0.16008308976253474,0.4444619109961294,Olmo-3-7B-RL-Zero-Math
60-80%,0.3056179671313886,,1,,,Olmo-3-7B-RL-Zero-Math
80-100%,0.08906989361261854,0.24377566425299085,44,0.03675056415212837,0.074114576042819,Olmo-3-7B-RL-Zero-Math
0-20%,0.08305749216675144,0.014180203189225858,2,0.010026917833704711,0.12740407087043423,Olmo-3-7B-Think
80-100%,0.09950172824490393,0.07938557162937906,48,0.011458320287498582,0.02305116714165259,Olmo-3-7B-Think
0-20%,0.19447950238927147,0.20503439915520597,2,0.14498121401915545,1.8421609882638683,Olmo-3-7B-Thinking-SFT
20-40%,0.7141075754185947,,1,,,Olmo-3-7B-Thinking-SFT
80-100%,0.1450187951306506,0.11914648688583225,47,0.017379301296605927,0.034982719092232786,Olmo-3-7B-Thinking-SFT
0-20%,0.509680986128758,0.6303715921668406,2,0.4457400274885337,5.663664048492179,Olmo-3-7B-Thinking-DPO
60-80%,0.8537855067606992,,1,,,Olmo-3-7B-Thinking-DPO
80-100%,0.09124357317440779,0.08046674420995593,47,0.01173728096004848,0.02362592118776239,Olmo-3-7B-Thinking-DPO
0-20%,0.10120867848591865,0.11050457420553343,2,0.07813853377286473,0.9928442079226331,Olmo-3-7B-Instruct
80-100%,0.11049427361895459,0.15422241335172668,48,0.022260087965923284,0.04478152080023628,Olmo-3-7B-Instruct
